num,year,title,genre,tags,star,note
1,2026,Mewgenics,Action,"horror,rpg",false,Dal creatore di Binding of Isaac. Roguelite legacy con gatti. Alleva e manda i tuoi felini in avventure caotiche e oscure.
2,2026,REPLACED,Action,"cyberpunk,noir",false,Sad Cat Studios. Platformer d'azione 2.5D cyberpunk retro. Una AI in corpo umano nella distopica Phoenix-City anni 80. Pixel art stratificata e cinematografica magistrale.
3,2025,Arranger: A Role-Puzzler Adventure,Puzzle,"mystery,cozy",false,Puzzle narrativo in cui il mondo intero si muove a griglia con la protagonista.
4,2025,Blade Chimera,Action,"cyberpunk,scifi",false,Team Ladybug. Metroidvania pixel cyberpunk. Cacciatore di demoni senza memoria in citta futuristica. Pixel art sontuosa.
5,2025,Blue Prince,Puzzle,mystery,false,Mansion mystery ogni run riorganizza le stanze. Capolavoro 2025.
6,2025,Broken Sword: Reforged,P&C,"mystery,classic",false,Remaster ufficiale 1996 con pixel art aggiornata. Mistero templari.
7,2025,Citizen Sleeper 2: Starward Vector,Narrativo,"scifi,rpg",false,Sequel cult sci-fi. Narrativa ramificata su astronave dado come meccanica.
8,2025,Despelote,Narrativo,cozy,false,Calcio come racconto di vita. Quito 2001 attraverso gli occhi di un bambino. Pixel narrativo che cattura l'essenza di un'epoca.
9,2025,Hades II,Action,"rpg,mystery",false,Sequel di Hades di Supergiant. Roguelite mitologico con Melinoe. Narrativa piu ricca e combat profondissimo. Universalmente acclamato.
10,2025,Hollow Knight: Silksong,Action,"mystery,horror",false,Sequel atteso 7 anni di Team Cherry. Metroidvania epico con Hornet nel regno di Pharloom. Monumentale e brutale.
11,2025,Nine Sols,Action,"scifi,cyberpunk",false,Action pixel taoista-cyberpunk. Lore profonda mondo sinico post-umano.
12,2025,Old Skies,Adventure,"scifi,mystery",false,Wadjet Eye. Agenzia viaggi nel tempo pixel cyberpunk con anima noir.
13,2025,Skald: Against the Black Priory,RPG,"rpg,horror,classic",false,RPG in stile Ultima IV su sistemi 8-bit. Pixel art retro oscura e dettagliata.
14,2025,The Drifter,P&C,"noir,mystery",false,Noir thriller pixel. PI in un noir pulp anni 50 omicidio su treno. Capolavoro recente.
15,2025,The Seance of Blake Manor,Adventure,"horror,mystery",false,Detective soprannaturale nell'Irlanda del 1897. Hotel isolato pieno di segreti e presenze spettrali. Atmosfera gotica intensa.
16,2025,Wanderstop,Sim,"cozy,mystery",false,Ivy Road / Davey Wreden. Negozio di te in foresta magica. Narrativa sull'esaurimento e il cambiamento. Delicato e sovversivo.
17,2024,1000xRESIST,Narrativo,"scifi,mystery",false,Sci-fi su colonialismo e memoria. Pixel espressivo molto premiato.
18,2024,Abiotic Factor,Adventure,"scifi,horror",false,Sopravvivenza pixel in un laboratorio sotterraneo stile SCP.
19,2024,Anger Foot,Action,cyberpunk,false,FPS pixel surreale in citta criminale. Estetica neon sgangherata.
20,2024,Animal Well,Adventure,mystery,false,Metroidvania puzzle senza testo pieno di segreti oscuri. Pixel atmosferico unico.
21,2024,ANTONBLAST,Platformer,"action,retro",false,"Summitsphere. Platformer 2D frenetico ispirato a Wario Land. Anton il demolizionista sfida Satana a colpi di martello. Pixel art esplosiva e caotica, livelli distruttivi, boss enormi."
22,2024,Cornerpond,Sim,cozy,false,Peschereccio cozy in un angolo tranquillo. Gameplay rilassante.
23,2024,Crow Country,Adventure,"horror,mystery",false,Horror pixel anni 80 stile PS1 in un parco divertimenti abbandonato.
24,2024,Harold Halibut,Narrativo,"scifi,cozy",false,Stop-motion pixel su astronave sott acqua. Narrativa slow-burn commovente.
25,2024,Kathy Rain 2: Soothsayer,P&C,"noir,mystery,horror",false,Detective noir anni 90 con forte paranormale. Pixel art bellissima.
26,2024,Loco Motive,P&C,"mystery,noir,classic",false,P&C classico su Orient Express anni 30. Humor e misteri da manuale.
27,2024,Lorelei and the Laser Eyes,Puzzle,"mystery,noir",false,Mystery puzzle raffinatissimo Simogo. Hotel misterioso enigmi labirintici in bianco e nero.
28,2024,Mouthwashing,Adventure,"horror,mystery,scifi",false,Horror psicologico su astronave in avaria. Visuals stile PS1. Breve e devastante. Molto premiato.
29,2024,Mullet MadJack,Action,"cyberpunk,scifi",false,Action pixel cyberpunk frenetico. Estetica anime anni 90 distopica.
30,2024,Neon Hearts City,P&C,"cyberpunk,noir,mystery",false,Erede diretto di Tales of the Neon Sea. Detective cyber pixel neon.
31,2024,Neva,Action,"mystery,cozy",false,Action pixel commovente Devolver. Donna e lupo contro un mondo che crolla.
32,2024,Pepper Grinder,Platformer,"action,retro",false,"Devolver Digital. Platformer pirateschi con meccanica di trivellazione unica. Pixel art vivace e ritmica, breve ma intenso. Devolver."
33,2024,UFO 50,Adventure,"classic,scifi",false,50 giochi pixel d'autore ispirati all'era 8-bit. Fenomeno critico di Derek Yu e soci.
34,2023,A Space for the Unbound,Narrativo,"mystery,cozy",false,Indonesia anni 90 pixel onirico. Storia commovente su salute mentale.
35,2023,Beacon Pines,Adventure,"mystery,cozy",false,Avventura pixel con libro interattivo. Storia autunnale su cittadina strana.
36,2023,Cassette Beasts,RPG,"rpg,scifi",false,Monster collector pixel con lore fantastica su isola misteriosa.
37,2023,Chants of Sennaar,Puzzle,"mystery,scifi",false,Decifrare lingue antiche in torre babelica. Puzzle pixel unico e premiato.
38,2023,Coffee Talk Episode 2: Hibiscus & Butterfly,Narrativo,"cozy,cyberpunk",false,Sequel barista cyberpunk. Seattle fantasy relax totale jazz.
39,2023,Dave the Diver,Adventure,"cozy,mystery",false,Immersioni e sushi restaurant. Mix pixel/3D uno dei migliori 2023.
40,2023,Dredge,Adventure,"horror,mystery",false,Fishing + horror lovecraftiano. Pixel notturno atmosfera opprimente.
41,2023,El Paso Elsewhere,Action,"noir,horror,mystery",false,Neo-noir soprannaturale pixel. Sparatutto isometrico con ex demoniaca.
42,2023,Oxenfree II: Lost Signals,Adventure,"mystery,horror",false,Sequel teen horror narrativo. Radio fantasmi pixel modernissima.
43,2023,Paranormasight: The Seven Mysteries of Honjo,Narrativo,"horror,mystery",false,Visual novel horror Square Enix nella Tokyo anni 80. Folklore giapponese e maledizioni.
44,2023,Pizza Tower,Action,"classic,mystery",false,Platformer pixel puro stile Wario Land. Animazioni incredibili.
45,2023,Planet of Lana,Puzzle,"mystery,cozy,scifi",false,Platformer puzzle cinematografico. Una ragazza e il suo compagno felino salvano un pianeta dall'invasione. Visuals da manuale pixel art.
46,2023,Read Only Memories: NEURODIVER,Adventure,"cyberpunk,scifi",false,Sequel del cult cyberpunk. Psionica che legge memorie Neo-SF neon.
47,2023,Sea of Stars,RPG,"rpg,classic",false,Omaggio JRPG 16-bit. Combattimento a turni pixel eccellente.
48,2023,Slay the Princess,Narrativo,"horror,mystery",false,Black Tabby Games. Visual novel horror psicologica in cui ogni scelta trasforma la principessa. Rami narrativi infiniti. Meta-horror oscuro e sovversivo.
49,2023,Storyteller,Puzzle,"mystery,classic",false,Puzzle narrativo: componi storie con personaggi e scenari pixel art.
50,2023,Terra Nil,Sim,"cozy,scifi",false,City builder inverso: ripristina ecosistema e poi sparisci. Pixel zen.
