num,year,title,genre,tags,star,note
1,2026,Mewgenics,Action,"horror,rpg",false,From the creator of Binding of Isaac. Turn-based legacy roguelite with cats. Breed and send your felines on chaotic dark adventures.
2,2026,REPLACED,Action,"cyberpunk,noir",false,Sad Cat Studios. Retrofuturistic 2.5D cyberpunk action platformer. AI trapped in a human body in dystopian 1980s Phoenix-City. Masterful layered pixel art and cinematic direction.
3,2025,Arranger: A Role-Puzzler Adventure,Puzzle,"mystery,cozy",false,Narrative puzzle where the entire world moves on a grid alongside the protagonist.
4,2025,Blade Chimera,Action,"cyberpunk,scifi",false,Team Ladybug pixel cyberpunk metroidvania. Amnesiac demon hunter in a futuristic city. Lush pixel art and fluid combat.
5,2025,Blue Prince,Puzzle,mystery,false,Mansion mystery where each run reshuffles the rooms. 2025 masterpiece.
6,2025,Broken Sword: Reforged,P&C,"mystery,classic",false,Official remaster of the 1996 original with updated pixel art. Templar conspiracy.
7,2025,Citizen Sleeper 2: Starward Vector,Narrative,"scifi,rpg",false,Cult sci-fi sequel. Branching narrative on a spaceship with dice as core mechanic.
8,2025,Despelote,Narrative,cozy,false,Soccer as a life story. Quito 2001 through the eyes of a child. Pixel narrative capturing the soul of an era.
9,2025,Hades II,Action,"rpg,mystery",false,Supergiant's sequel to Hades. Mythological roguelite as Melinoe. Even richer narrative and deeper combat. Universally acclaimed.
10,2025,Hollow Knight: Silksong,Action,"mystery,horror",false,Team Cherry's 7-year sequel. Epic pixel metroidvania with Hornet in the kingdom of Pharloom. Monumental and brutal.
11,2025,Nine Sols,Action,"scifi,cyberpunk",false,Taoist-cyberpunk pixel action. Deep lore in a post-human Sinicized world.
12,2025,Old Skies,Adventure,"scifi,mystery",false,Wadjet Eye. Time-travel agency with cyberpunk pixel soul and noir atmosphere.
13,2025,Skald: Against the Black Priory,RPG,"rpg,horror,classic",false,RPG in the style of Ultima IV on 8-bit systems. Dark and detailed retro pixel art.
14,2025,The Drifter,P&C,"noir,mystery",false,Noir pixel thriller. PI in a 1950s pulp noir story investigating a murder on a train.
15,2025,The Seance of Blake Manor,Adventure,"horror,mystery",false,Supernatural detective in 1897 Ireland. Isolated hotel full of secrets and spectral occurrences. Intense gothic atmosphere.
16,2025,Wanderstop,Sim,"cozy,mystery",false,Ivy Road / Davey Wreden. Tea shop in a magical forest. Narrative about burnout and change. Delicate and subversive.
17,2024,1000xRESIST,Narrative,"scifi,mystery",false,Sci-fi about colonialism and memory. Expressive pixel art widely acclaimed.
18,2024,Abiotic Factor,Adventure,"scifi,horror",false,Pixel survival in an underground SCP-style laboratory.
19,2024,Anger Foot,Action,cyberpunk,false,Surreal pixel FPS in a criminal city. Garish neon aesthetic.
20,2024,Animal Well,Adventure,mystery,false,Text-free Metroidvania puzzle filled with dark secrets. Uniquely atmospheric pixel art.
21,2024,ANTONBLAST,Platformer,"action,retro",false,"Summitsphere. Frantic 2D platformer inspired by Wario Land. Demolition worker Anton battles Satan with a mighty hammer. Explosive chaotic pixel art, destructive levels and massive bosses."
22,2024,Cornerpond,Sim,cozy,false,Cozy fishing sim in a quiet corner. Relaxing gameplay loop.
23,2024,Crow Country,Adventure,"horror,mystery",false,80s-style PS1-era pixel horror set in an abandoned amusement park.
24,2024,Harold Halibut,Narrative,"scifi,cozy",false,Pixel stop-motion on an underwater spaceship. Moving slow-burn narrative.
25,2024,Kathy Rain 2: Soothsayer,P&C,"noir,mystery,horror",false,90s noir detective with strong paranormal elements. Beautiful pixel art throughout.
26,2024,Loco Motive,P&C,"mystery,noir,classic",false,Classic P&C on the Orient Express in the 1930s. Textbook humor and mystery.
27,2024,Lorelei and the Laser Eyes,Puzzle,"mystery,noir",false,Simogo ultra-refined mystery puzzle. Mysterious hotel with labyrinthine puzzles in stark black and white.
28,2024,Mouthwashing,Adventure,"horror,mystery,scifi",false,Psychological horror on a drifting spaceship. PS1-style visuals. Brief and devastating. Widely acclaimed.
29,2024,Mullet MadJack,Action,"cyberpunk,scifi",false,Frenetic cyberpunk pixel action. 90s dystopian anime aesthetic.
30,2024,Neon Hearts City,P&C,"cyberpunk,noir,mystery",false,Direct heir to Tales of the Neon Sea. Cyberpunk neon pixel detective.
31,2024,Neva,Action,"mystery,cozy",false,Moving Devolver pixel action. A woman and her wolf against a crumbling dark world.
32,2024,Pepper Grinder,Platformer,"action,retro",false,"Devolver Digital. Pirate platformer with a unique drilling locomotion mechanic. Vibrant rhythmic pixel art, short but intense. Published by Devolver."
33,2024,UFO 50,Adventure,"classic,scifi",false,50 author-crafted pixel games by Derek Yu inspired by the 8-bit era. Critical collective phenomenon.
34,2023,A Space for the Unbound,Narrative,"mystery,cozy",false,90s Indonesia in dreamy pixel. Moving story about mental health and love.
35,2023,Beacon Pines,Adventure,"mystery,cozy",false,Pixel adventure with an interactive book. Autumnal story in a strange town.
36,2023,Cassette Beasts,RPG,"rpg,scifi",false,Pixel monster collector with fantastic lore on a mysterious island.
37,2023,Chants of Sennaar,Puzzle,"mystery,scifi",false,Decipher ancient languages in a Babel tower. Unique award-winning pixel puzzle.
